topic,year,pubs,cites
Paleontology and Evolutionary Biology,2012,1,102
Paleontology and Evolutionary Biology,2013,1,18
Paleontology and Evolutionary Biology,2014,1,117
Paleontology and Evolutionary Biology,2016,2,32
Paleontology and Evolutionary Biology,2017,4,7
Paleontology and Evolutionary Biology,2018,2,17
Paleontology and Evolutionary Biology,2019,1,9
Paleontology and Evolutionary Biology,2020,2,36
Paleontology and Evolutionary Biology,2021,1,33
Paleontology and Evolutionary Biology,2022,3,4
Paleontology and Evolutionary Biology,2023,6,37
Paleontology and Evolutionary Biology,2024,5,28
Paleontology and Evolutionary Biology,2025,9,8
Paleontology and Evolutionary Biology,2026,2,0
Paleontology and Stratigraphy of Fossils,1959,1,2
Paleontology and Stratigraphy of Fossils,1960,1,2
Paleontology and Stratigraphy of Fossils,1964,1,1
Paleontology and Stratigraphy of Fossils,1965,1,13
Paleontology and Stratigraphy of Fossils,1966,1,4
Paleontology and Stratigraphy of Fossils,1972,1,14
Paleontology and Stratigraphy of Fossils,1976,1,20
Paleontology and Stratigraphy of Fossils,1979,1,3
Paleontology and Stratigraphy of Fossils,1980,2,40
Paleontology and Stratigraphy of Fossils,1981,1,26
Paleontology and Stratigraphy of Fossils,1982,4,104
Paleontology and Stratigraphy of Fossils,1983,1,3
Paleontology and Stratigraphy of Fossils,1985,5,172
Paleontology and Stratigraphy of Fossils,1986,2,114
Paleontology and Stratigraphy of Fossils,1987,14,303
Paleontology and Stratigraphy of Fossils,1988,2,52
Paleontology and Stratigraphy of Fossils,1989,7,183
Paleontology and Stratigraphy of Fossils,1990,7,393
Paleontology and Stratigraphy of Fossils,1991,10,102
Paleontology and Stratigraphy of Fossils,1992,7,294
Paleontology and Stratigraphy of Fossils,1993,9,434
Paleontology and Stratigraphy of Fossils,1994,8,421
Paleontology and Stratigraphy of Fossils,1995,12,351
Paleontology and Stratigraphy of Fossils,1996,10,312
Paleontology and Stratigraphy of Fossils,1997,8,761
Paleontology and Stratigraphy of Fossils,1998,17,284
Paleontology and Stratigraphy of Fossils,1999,17,792
Paleontology and Stratigraphy of Fossils,2000,22,555
Paleontology and Stratigraphy of Fossils,2001,12,323
Paleontology and Stratigraphy of Fossils,2002,13,861
Paleontology and Stratigraphy of Fossils,2003,15,674
Paleontology and Stratigraphy of Fossils,2004,21,1028
Paleontology and Stratigraphy of Fossils,2005,29,1729
Paleontology and Stratigraphy of Fossils,2006,28,749
Paleontology and Stratigraphy of Fossils,2007,27,4568
Paleontology and Stratigraphy of Fossils,2008,37,1252
Paleontology and Stratigraphy of Fossils,2009,29,1137
Paleontology and Stratigraphy of Fossils,2010,39,1495
Paleontology and Stratigraphy of Fossils,2011,29,1955
Paleontology and Stratigraphy of Fossils,2012,17,684
Paleontology and Stratigraphy of Fossils,2013,27,1274
Paleontology and Stratigraphy of Fossils,2014,29,907
Paleontology and Stratigraphy of Fossils,2015,27,890
Paleontology and Stratigraphy of Fossils,2016,30,580
Paleontology and Stratigraphy of Fossils,2017,39,533
Paleontology and Stratigraphy of Fossils,2018,41,730
Paleontology and Stratigraphy of Fossils,2019,39,450
Paleontology and Stratigraphy of Fossils,2020,44,715
Paleontology and Stratigraphy of Fossils,2021,55,691
Paleontology and Stratigraphy of Fossils,2022,48,266
Paleontology and Stratigraphy of Fossils,2023,48,265
Paleontology and Stratigraphy of Fossils,2024,54,246
Paleontology and Stratigraphy of Fossils,2025,72,74
Paleontology and Stratigraphy of Fossils,2026,33,7
Paleopathology and ancient diseases,2020,1,0
Parasite Biology and Host Interactions,2004,1,25
Parasite Biology and Host Interactions,2008,1,0
Parasite Biology and Host Interactions,2018,1,1
Parasite Biology and Host Interactions,2024,1,4
Parasitic Infections and Diagnostics,1998,1,0
Peatlands and Wetlands Ecology,2023,1,16
Per- and polyfluoroalkyl substances research,2024,2,27
Perovskite Materials and Applications,2024,1,5
Petroleum Processing and Analysis,1991,1,4
Petroleum Processing and Analysis,2007,1,43
Petroleum Processing and Analysis,2008,1,78
Petroleum Processing and Analysis,2010,2,147
Petroleum Processing and Analysis,2011,3,300
Petroleum Processing and Analysis,2012,3,275
Petroleum Processing and Analysis,2013,5,225
Petroleum Processing and Analysis,2014,6,200
Petroleum Processing and Analysis,2015,4,75
Petroleum Processing and Analysis,2016,7,147
Petroleum Processing and Analysis,2017,3,57
Petroleum Processing and Analysis,2018,6,103
Petroleum Processing and Analysis,2019,4,75
Petroleum Processing and Analysis,2020,5,66
Petroleum Processing and Analysis,2021,13,122
Petroleum Processing and Analysis,2022,16,246
Petroleum Processing and Analysis,2023,8,26
Petroleum Processing and Analysis,2024,7,31
Petroleum Processing and Analysis,2025,4,9
Petroleum Processing and Analysis,2026,1,1
Pharmacological Effects of Medicinal Plants,1969,1,93
Pharmacological Effects of Medicinal Plants,1970,1,106
Pharmacological Effects of Medicinal Plants,1982,1,23
Philosophy and History of Science,2005,1,0
Phosphodiesterase function and regulation,2006,1,82
Photovoltaic Systems and Sustainability,2021,1,14
Physics and Engineering Research Articles,2019,1,0
Physiological and biochemical adaptations,2020,1,9
Physiological and biochemical adaptations,2024,1,6
Pickering emulsions and particle stabilization,2020,1,15
Pickering emulsions and particle stabilization,2024,1,0
Planetary Science and Exploration,1986,1,22
Planetary Science and Exploration,2006,1,32
Planetary Science and Exploration,2010,2,64
Planetary Science and Exploration,2012,4,4
Planetary Science and Exploration,2015,13,16
Planetary Science and Exploration,2021,2,6
Planetary Science and Exploration,2022,6,5
Planetary Science and Exploration,2023,1,10
Planetary Science and Exploration,2024,1,0
Planetary Science and Exploration,2025,1,0
Planetary Science and Exploration,2026,2,0
Plant and animal studies,2012,1,0
Plant and Fungal Species Descriptions,2008,1,10
Plant and Fungal Species Descriptions,2009,1,39
Plant and Fungal Species Descriptions,2010,1,0
Plant and Fungal Species Descriptions,2013,1,80
Plant and Fungal Species Descriptions,2014,1,52
Plant and Fungal Species Descriptions,2016,1,79
Plant and Fungal Species Descriptions,2017,1,20
Plant and Fungal Species Descriptions,2025,1,0
Plant Diversity and Evolution,1994,1,31
Plant Diversity and Evolution,1996,1,182
Plant Diversity and Evolution,1997,1,296
Plant Diversity and Evolution,2005,1,90
Plant Diversity and Evolution,2006,1,7
Plant Diversity and Evolution,2008,3,29
Plant Diversity and Evolution,2009,4,354
Plant Diversity and Evolution,2010,2,0
Plant Diversity and Evolution,2012,1,0
Plant Diversity and Evolution,2013,4,81
Plant Diversity and Evolution,2014,2,60
Plant Diversity and Evolution,2015,2,27
Plant Diversity and Evolution,2016,4,134
Plant Diversity and Evolution,2017,2,20
Plant Diversity and Evolution,2019,1,4
Plant Diversity and Evolution,2021,1,10
Plant Diversity and Evolution,2022,1,7
Plant Diversity and Evolution,2023,1,6
Plant Diversity and Evolution,2025,4,1
Plant Diversity and Evolution,2026,2,0
Plant Ecology and Soil Science,2003,1,5
Plant Ecology and Taxonomy Studies,2015,1,8
Plant Ecology and Taxonomy Studies,2016,1,4
Plant Parasitism and Resistance,2016,1,79
Plant Pathogens and Fungal Diseases,2008,1,10
Plant Pathogens and Fungal Diseases,2015,1,1
Plant responses to elevated CO2,2013,1,1
Plant responses to water stress,2016,1,0
Plant Water Relations and Carbon Dynamics,2025,1,2
Pleistocene-Era Hominins and Archaeology,1962,1,4
Pleistocene-Era Hominins and Archaeology,1966,1,3
Pleistocene-Era Hominins and Archaeology,1970,1,0
Pleistocene-Era Hominins and Archaeology,1982,1,47
Pleistocene-Era Hominins and Archaeology,1985,1,79
Pleistocene-Era Hominins and Archaeology,1989,2,0
Pleistocene-Era Hominins and Archaeology,1994,2,55
Pleistocene-Era Hominins and Archaeology,1997,1,0
Pleistocene-Era Hominins and Archaeology,1998,1,49
Pleistocene-Era Hominins and Archaeology,2000,2,71
Pleistocene-Era Hominins and Archaeology,2003,1,0
Pleistocene-Era Hominins and Archaeology,2005,1,3
Pleistocene-Era Hominins and Archaeology,2007,2,21
Pleistocene-Era Hominins and Archaeology,2008,1,0
Pleistocene-Era Hominins and Archaeology,2010,1,0
Pleistocene-Era Hominins and Archaeology,2011,1,7
Pleistocene-Era Hominins and Archaeology,2012,1,35
Pleistocene-Era Hominins and Archaeology,2014,2,24
Pleistocene-Era Hominins and Archaeology,2015,1,0
Pleistocene-Era Hominins and Archaeology,2016,1,47
Pleistocene-Era Hominins and Archaeology,2018,2,186
Pleistocene-Era Hominins and Archaeology,2022,1,100
Pleistocene-Era Hominins and Archaeology,2023,1,0
Pleistocene-Era Hominins and Archaeology,2024,1,1
Pleistocene-Era Hominins and Archaeology,2025,2,2
Polar Research and Ecology,1979,1,4
Polar Research and Ecology,2010,1,55
Polar Research and Ecology,2011,1,0
Polar Research and Ecology,2022,1,3
Polar Research and Ecology,2024,1,0
Polar Research and Ecology,2025,1,0
Porphyrin and Phthalocyanine Chemistry,2025,1,0
Power Line Inspection Robots,2014,1,0
Power System Optimization and Stability,2014,1,0
Precipitation Measurement and Analysis,2005,1,283
Primate Behavior and Ecology,1998,1,49
Primate Behavior and Ecology,2025,1,0
Protein Hydrolysis and Bioactive Peptides,2022,1,0
Protist diversity and phylogeny,2000,1,28
Protist diversity and phylogeny,2008,1,4
Protist diversity and phylogeny,2010,1,2
Protist diversity and phylogeny,2012,1,1
Protist diversity and phylogeny,2014,1,59
Protist diversity and phylogeny,2017,2,34
Protist diversity and phylogeny,2019,1,4
Protist diversity and phylogeny,2020,1,0
Protist diversity and phylogeny,2025,1,1
Quinazolinone synthesis and applications,2017,1,69
Radiation Detection and Scintillator Technologies,2015,1,5
Radiation Dose and Imaging,2024,1,7
Radiation Dose and Imaging,2026,1,0
Radiation Shielding Materials Analysis,2026,1,0
Radioactive element chemistry and processing,1987,1,0
Radioactive element chemistry and processing,1989,1,32
Radioactive element chemistry and processing,1996,1,36
Radioactive element chemistry and processing,2005,1,5
Radioactive element chemistry and processing,2009,1,30
Radioactive element chemistry and processing,2010,1,8
Radioactive element chemistry and processing,2012,1,30
Radioactive element chemistry and processing,2015,4,70
Radioactive element chemistry and processing,2016,1,29
Radioactive element chemistry and processing,2017,1,10
Radioactive element chemistry and processing,2018,3,24
Radioactive element chemistry and processing,2020,2,33
Radioactive element chemistry and processing,2021,4,23
Radioactive element chemistry and processing,2022,1,201
Radioactive element chemistry and processing,2024,1,0
Radioactive element chemistry and processing,2025,3,3
Radioactivity and Radon Measurements,1996,1,36
Radioactivity and Radon Measurements,2017,1,58
Radioactivity and Radon Measurements,2020,1,14
Radioactivity and Radon Measurements,2024,1,7
Radioactivity and Radon Measurements,2025,1,6
Radioactivity and Radon Measurements,2026,1,0
Railway Engineering and Dynamics,2011,1,3
Rangeland Management and Livestock Ecology,2000,1,0
Rangeland Management and Livestock Ecology,2018,1,0
Rangeland Management and Livestock Ecology,2025,1,0
Real-Time Systems Scheduling,1986,1,0
Receptor Mechanisms and Signaling,1991,1,41
"Recreation, Leisure, Wilderness Management",2023,1,13
Recycled Aggregate Concrete Performance,2022,1,23
Recycling and utilization of industrial and municipal waste in materials production,2022,1,0
Recycling and utilization of industrial and municipal waste in materials production,2025,1,7
Recycling and utilization of industrial and municipal waste in materials production,2026,2,3
Recycling and Waste Management Techniques,2024,1,0
Remote Sensing and Land Use,2003,1,5
Remote Sensing and LiDAR Applications,2015,2,0
Remote Sensing and LiDAR Applications,2018,1,9
Remote Sensing and LiDAR Applications,2023,1,2
Remote Sensing and LiDAR Applications,2024,1,6
Remote Sensing in Agriculture,2003,1,0
Remote Sensing in Agriculture,2024,1,6
Remote-Sensing Image Classification,2003,1,134
Remote-Sensing Image Classification,2011,2,157
Remote-Sensing Image Classification,2013,1,93
Remote-Sensing Image Classification,2015,1,43
Remote-Sensing Image Classification,2020,1,1
Remote-Sensing Image Classification,2021,2,52
Remote-Sensing Image Classification,2022,3,23
Remote-Sensing Image Classification,2023,1,2
Remote-Sensing Image Classification,2024,1,6
Remote-Sensing Image Classification,2025,2,1
Remote-Sensing Image Classification,2026,1,0
Renaissance Literature and Culture,1995,1,8
Reproductive Biology and Fertility,1996,1,22
Reproductive Biology and Fertility,1997,1,14
Reproductive Biology and Fertility,1999,2,26
Reproductive Physiology in Livestock,1996,1,28
Reproductive Physiology in Livestock,1997,1,6
Reproductive Physiology in Livestock,2000,1,104
Reproductive System and Pregnancy,1999,1,8
Research Data Management Practices,2003,1,0
Reservoir Engineering and Simulation Methods,1977,1,57
Reservoir Engineering and Simulation Methods,1987,1,39
Reservoir Engineering and Simulation Methods,1988,1,12
Reservoir Engineering and Simulation Methods,1990,1,34
Reservoir Engineering and Simulation Methods,1991,2,0
Reservoir Engineering and Simulation Methods,1992,2,2
Reservoir Engineering and Simulation Methods,1993,3,122
Reservoir Engineering and Simulation Methods,1995,1,1
Reservoir Engineering and Simulation Methods,1997,1,31
Reservoir Engineering and Simulation Methods,2001,2,7
Reservoir Engineering and Simulation Methods,2002,1,19
Reservoir Engineering and Simulation Methods,2003,1,3
Reservoir Engineering and Simulation Methods,2004,3,95
Reservoir Engineering and Simulation Methods,2005,2,0
Reservoir Engineering and Simulation Methods,2006,2,77
Reservoir Engineering and Simulation Methods,2008,8,33
Reservoir Engineering and Simulation Methods,2009,1,16
Reservoir Engineering and Simulation Methods,2010,11,8
Reservoir Engineering and Simulation Methods,2011,7,7
Reservoir Engineering and Simulation Methods,2012,4,13
Reservoir Engineering and Simulation Methods,2013,6,26
Reservoir Engineering and Simulation Methods,2014,1,0
Reservoir Engineering and Simulation Methods,2016,6,53
Reservoir Engineering and Simulation Methods,2017,9,36
Reservoir Engineering and Simulation Methods,2018,7,41
Reservoir Engineering and Simulation Methods,2019,5,120
Reservoir Engineering and Simulation Methods,2020,18,13
Reservoir Engineering and Simulation Methods,2021,9,31
Reservoir Engineering and Simulation Methods,2022,9,43
Reservoir Engineering and Simulation Methods,2023,11,132
Reservoir Engineering and Simulation Methods,2024,11,40
Reservoir Engineering and Simulation Methods,2025,14,8
Reservoir Engineering and Simulation Methods,2026,3,0
Robotics and Sensor-Based Localization,2024,1,1
Rock Mechanics and Modeling,1983,1,42
Rock Mechanics and Modeling,1990,1,0
Rock Mechanics and Modeling,2006,1,10
Rock Mechanics and Modeling,2014,1,15
Rock Mechanics and Modeling,2016,5,44
Rock Mechanics and Modeling,2017,2,32
Rock Mechanics and Modeling,2018,1,10
Rock Mechanics and Modeling,2019,1,0
Rock Mechanics and Modeling,2020,4,99
Rock Mechanics and Modeling,2021,2,31
Rock Mechanics and Modeling,2022,2,10
Rock Mechanics and Modeling,2023,4,58
Rock Mechanics and Modeling,2025,1,0
Satellite Image Processing and Photogrammetry,2015,4,0
Scheduling and Optimization Algorithms,1989,1,0
Science and Climate Studies,1997,1,0
"Science, Research, and Medicine",2005,1,0
Scientific Computing and Data Management,2021,2,123
Scientific Computing and Data Management,2023,1,0
Scientific Computing and Data Management,2025,1,0
Scientific Research and Discoveries,2015,6,0
Scientific Research and Philosophical Inquiry,2006,1,0
Seismic Imaging and Inversion Techniques,1981,1,55
Seismic Imaging and Inversion Techniques,1989,2,4
Seismic Imaging and Inversion Techniques,1991,1,0
Seismic Imaging and Inversion Techniques,1994,1,3
Seismic Imaging and Inversion Techniques,1995,1,1
Seismic Imaging and Inversion Techniques,1999,1,13
Seismic Imaging and Inversion Techniques,2004,3,12
Seismic Imaging and Inversion Techniques,2006,1,4
Seismic Imaging and Inversion Techniques,2008,6,7
Seismic Imaging and Inversion Techniques,2009,2,1
Seismic Imaging and Inversion Techniques,2010,1,0
Seismic Imaging and Inversion Techniques,2011,12,119
Seismic Imaging and Inversion Techniques,2012,2,34
Seismic Imaging and Inversion Techniques,2013,5,34
Seismic Imaging and Inversion Techniques,2014,4,45
Seismic Imaging and Inversion Techniques,2015,6,9
Seismic Imaging and Inversion Techniques,2016,10,94
Seismic Imaging and Inversion Techniques,2017,21,128
Seismic Imaging and Inversion Techniques,2018,14,167
Seismic Imaging and Inversion Techniques,2019,19,118
Seismic Imaging and Inversion Techniques,2020,7,116
Seismic Imaging and Inversion Techniques,2021,23,141
Seismic Imaging and Inversion Techniques,2022,17,150
Seismic Imaging and Inversion Techniques,2023,12,105
Seismic Imaging and Inversion Techniques,2024,20,52
Seismic Imaging and Inversion Techniques,2025,25,21
Seismic Imaging and Inversion Techniques,2026,7,0
Seismic Performance and Analysis,2011,1,2
Seismic Performance and Analysis,2018,1,1
Seismic Performance and Analysis,2023,1,10
Seismic Waves and Analysis,1981,1,55
Seismic Waves and Analysis,1989,1,4
Seismic Waves and Analysis,2004,3,12
Seismic Waves and Analysis,2006,2,9
Seismic Waves and Analysis,2008,3,1
Seismic Waves and Analysis,2009,1,0
Seismic Waves and Analysis,2011,8,114
Seismic Waves and Analysis,2012,2,34
Seismic Waves and Analysis,2013,3,13
Seismic Waves and Analysis,2014,3,6
Seismic Waves and Analysis,2015,5,8
Seismic Waves and Analysis,2016,7,63
Seismic Waves and Analysis,2017,8,51
Seismic Waves and Analysis,2018,5,94
Seismic Waves and Analysis,2019,10,61
Seismic Waves and Analysis,2020,2,26
Seismic Waves and Analysis,2021,9,64
Seismic Waves and Analysis,2022,10,49
Seismic Waves and Analysis,2023,7,31
Seismic Waves and Analysis,2024,7,9
Seismic Waves and Analysis,2025,8,2
Seismic Waves and Analysis,2026,4,0
Seismology and Earthquake Studies,1981,1,55
Seismology and Earthquake Studies,2009,1,0
Seismology and Earthquake Studies,2011,3,59
Seismology and Earthquake Studies,2012,1,31
Seismology and Earthquake Studies,2013,2,10
Seismology and Earthquake Studies,2014,1,0
Seismology and Earthquake Studies,2015,2,7
Seismology and Earthquake Studies,2016,5,41
Seismology and Earthquake Studies,2017,7,74
Seismology and Earthquake Studies,2018,4,66
Seismology and Earthquake Studies,2019,5,18
Seismology and Earthquake Studies,2021,1,11
Seismology and Earthquake Studies,2022,3,14
Seismology and Earthquake Studies,2023,3,9
Seismology and Earthquake Studies,2024,5,22
Seismology and Earthquake Studies,2025,6,10
Seismology and Earthquake Studies,2026,2,0
Semantic Web and Ontologies,2010,1,1
Sensor Technology and Measurement Systems,2020,1,0
Sexual Differentiation and Disorders,1985,1,0
Sexual Differentiation and Disorders,1999,1,18
Social Acceptance of Renewable Energy,2013,1,35
Social Policies and Family,1975,1,0
Social Policies and Family,1983,1,0
Social Policies and Family,1985,1,0
Social Science and Policy Research,2003,1,0
Social Sciences and Governance,1975,1,0
Social Sciences and Governance,1983,1,0
Social Sciences and Governance,1985,1,0
Soft Robotics and Applications,2024,1,2
Software Engineering and Design Patterns,2010,1,1
Soil and Environmental Studies,2002,2,304
Soil and Environmental Studies,2006,1,57
Soil and Environmental Studies,2009,1,1
Soil and Environmental Studies,2022,1,1
Soil and Environmental Studies,2023,1,0
Soil and Land Suitability Analysis,2003,1,5
Soil and Land Suitability Analysis,2023,2,12
Soil and Unsaturated Flow,2013,1,41
Soil and Unsaturated Flow,2025,2,12
Soil and Unsaturated Flow,2026,1,0
Soil erosion and sediment transport,2013,1,72
Soil erosion and sediment transport,2014,1,1
Soil erosion and sediment transport,2015,1,37
Soil erosion and sediment transport,2016,1,10
Soil erosion and sediment transport,2019,1,9
Soil erosion and sediment transport,2020,2,8
Soil erosion and sediment transport,2021,1,0
Soil erosion and sediment transport,2023,1,32
Soil erosion and sediment transport,2025,1,0
Soil Geostatistics and Mapping,2021,2,19
Soil Geostatistics and Mapping,2022,5,16
Soil Geostatistics and Mapping,2024,1,6
Soil Geostatistics and Mapping,2025,1,0
Soil Geostatistics and Mapping,2026,1,0
Soil Management and Crop Yield,1960,1,5
Soil Moisture and Remote Sensing,1982,1,28
Soil Moisture and Remote Sensing,2005,1,283
Soil Moisture and Remote Sensing,2010,1,4
Soil Moisture and Remote Sensing,2024,1,0
Solar and Space Plasma Dynamics,2015,6,0
Solar Radiation and Photovoltaics,2020,1,32
Solar Radiation and Photovoltaics,2022,1,32
Solar-Powered Water Purification Methods,2008,1,3
Solar-Powered Water Purification Methods,2023,1,31
Solid-state spectroscopy and crystallography,2021,1,0
Space Exploration and Technology,2012,2,1
Space Science and Extraterrestrial Life,2018,1,0
Space Science and Extraterrestrial Life,2021,1,0
Space Science and Extraterrestrial Life,2022,1,2
Spacecraft and Cryogenic Technologies,2015,10,0
Spacecraft and Cryogenic Technologies,2022,1,0
Spaceflight effects on biology,2021,1,0
Species Distribution and Climate Change,2003,1,0
Species Distribution and Climate Change,2021,1,4
Species Distribution and Climate Change,2022,1,0
Species Distribution and Climate Change,2025,1,0
Spectroscopy and Chemometric Analyses,2018,1,0
Spectroscopy and Chemometric Analyses,2019,1,0
Spectroscopy and Chemometric Analyses,2020,1,1
Spectroscopy and Chemometric Analyses,2021,4,15
Spectroscopy and Chemometric Analyses,2022,2,1
Spectroscopy and Chemometric Analyses,2024,1,15
Spectroscopy Techniques in Biomedical and Chemical Research,2009,1,0
Spectroscopy Techniques in Biomedical and Chemical Research,2018,2,121
Spectroscopy Techniques in Biomedical and Chemical Research,2019,1,74
Speech and Audio Processing,2025,1,4
Sperm and Testicular Function,1985,1,0
Statistics Education and Methodologies,1976,1,0
"Stellar, planetary, and galactic studies",2008,2,32
"Stellar, planetary, and galactic studies",2009,1,25
Structural Health Monitoring Techniques,2018,1,1
Structural Health Monitoring Techniques,2023,1,6
Stuttering Research and Treatment,2006,1,0
Subterranean biodiversity and taxonomy,1988,1,14
Subterranean biodiversity and taxonomy,2005,1,5
Subterranean biodiversity and taxonomy,2018,1,1
Subterranean biodiversity and taxonomy,2019,1,5
Subterranean biodiversity and taxonomy,2024,1,4
Subterranean biodiversity and taxonomy,2025,1,1
Supercapacitor Materials and Fabrication,2025,1,10
Surface Modification and Superhydrophobicity,2023,1,47
Surface Roughness and Optical Measurements,2022,1,0
Sustainability and Ecological Systems Analysis,2018,1,0
"Syntax, Semantics, Linguistic Variation",2010,1,0
Synthetic Aperture Radar (SAR) Applications and Techniques,2023,1,2
Synthetic Aperture Radar (SAR) Applications and Techniques,2025,2,0
T-cell and B-cell Immunology,1975,1,99
T-cell and B-cell Immunology,1978,1,24
T-cell and B-cell Immunology,2021,1,31
Technology-Enhanced Education Studies,2019,1,2
Testicular diseases and treatments,1985,1,0
Therapeutic Uses of Natural Elements,1969,1,93
Thermal and Kinetic Analysis,2022,1,0
thermodynamics and calorimetric analyses,2016,1,1
Time Series Analysis and Forecasting,2020,1,0
Time Series Analysis and Forecasting,2021,1,19
Time Series Analysis and Forecasting,2025,1,14
Toxic Organic Pollutants Impact,2024,1,27
Transboundary Water Resource Management,2001,4,6
Transboundary Water Resource Management,2003,1,92
Transboundary Water Resource Management,2020,6,62
Transboundary Water Resource Management,2023,1,1
Transport Systems and Technology,2025,1,3
Transportation Safety and Impact Analysis,2019,1,0
Traumatic Brain Injury and Neurovascular Disturbances,2015,1,0
Tree Root and Stability Studies,2016,1,0
Tree-ring climate responses,1995,1,5
Tree-ring climate responses,2007,1,0
Tree-ring climate responses,2018,1,0
Tuberculosis Research and Epidemiology,2017,1,69
Tuberous Sclerosis Complex Research,2005,1,11
Tunneling and Rock Mechanics,1983,1,42
Tunneling and Rock Mechanics,2016,1,7
Tunneling and Rock Mechanics,2019,3,43
Tunneling and Rock Mechanics,2020,1,12
Tunneling and Rock Mechanics,2022,1,18
Tunneling and Rock Mechanics,2023,2,5
Turtle Biology and Conservation,2017,1,1
Twentieth Century Scientific Developments,1987,1,0
UAV Applications and Optimization,2024,1,1
Ultrasonics and Acoustic Wave Propagation,1994,1,3
Ultrasonics and Acoustic Wave Propagation,2018,1,0
Underwater Acoustics Research,2006,1,5
Underwater Acoustics Research,2011,2,5
Underwater Acoustics Research,2016,3,31
Underwater Acoustics Research,2018,1,0
Underwater Acoustics Research,2022,2,26
Underwater Acoustics Research,2023,1,6
Underwater Acoustics Research,2025,1,4
Underwater Vehicles and Communication Systems,2024,1,6
Urban Green Space and Health,2023,1,13
Urban Heat Island Mitigation,2023,1,13
Urban Heat Island Mitigation,2025,1,2
Vascular Tumors and Angiosarcomas,2005,1,11
Vehicle emissions and performance,2000,1,17
Vehicle emissions and performance,2002,2,0
Vehicle emissions and performance,2021,1,3
Veterinary Medicine and Surgery,1996,1,28
Vibration and Dynamic Analysis,2014,1,0
Visual Culture and Art Theory,2022,1,0
Wastewater Treatment and Reuse,2020,1,6
Wastewater Treatment and Reuse,2024,1,30
Water management and technologies,1996,1,0
Water management and technologies,2001,2,1
Water management and technologies,2010,1,11
Water management and technologies,2016,1,2
Water management and technologies,2020,5,20
Water management and technologies,2023,2,1
Water Quality and Pollution Assessment,2016,1,2
Water Quality and Pollution Assessment,2018,1,3
Water Quality and Pollution Assessment,2019,2,7
Water Quality and Pollution Assessment,2020,2,4
Water Quality and Pollution Assessment,2022,3,120
Water Quality and Pollution Assessment,2023,3,16
Water Quality and Pollution Assessment,2024,3,9
Water Quality and Pollution Assessment,2025,3,20
Water Quality and Pollution Assessment,2026,1,0
Water Quality Monitoring and Analysis,1989,1,0
Water Quality Monitoring and Analysis,2022,2,9
Water Quality Monitoring and Analysis,2024,1,0
Water Quality Monitoring Technologies,2022,1,59
Water Quality Monitoring Technologies,2023,4,133
Water resources management and optimization,2001,1,0
Water resources management and optimization,2003,1,92
Water resources management and optimization,2020,6,76
Water resources management and optimization,2024,1,30
Water Systems and Optimization,2019,3,7
Water-Energy-Food Nexus Studies,2001,2,1
Water-Energy-Food Nexus Studies,2003,1,92
Water-Energy-Food Nexus Studies,2020,4,17
Whitehead's Philosophy and Applications,1997,1,0
Wildlife Ecology and Conservation,2016,1,47
Wind Energy Research and Development,2021,1,48
Wood and Agarwood Research,2005,1,50
X-ray Diffraction in Crystallography,2017,1,3
X-ray Diffraction in Crystallography,2020,4,0
X-ray Diffraction in Crystallography,2022,2,28
X-ray Spectroscopy and Fluorescence Analysis,2022,1,0
Xenotransplantation and immune response,1985,1,2
Zeolite Catalysis and Synthesis,2025,2,2
Zeolite Catalysis and Synthesis,2026,1,0
